% Device,CC1744004
% File name,CC1744004_20220817_230901
% Cast time (UTC),2022-08-17 23:09:01
% Cast time (local),2022-08-17 18:09:01
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,52.9707263
% Start longitude,-78.8997246
% Start altitude,-46.452999114990234
% Start GPS horizontal error(Meter),12.505999565124512
% Start GPS vertical error(Meter),12.185999870300293
% Start GPS number of satellites,7
% End latitude,52.9701096
% End longitude,-78.9016811
% End altitude,-46.442001342773438
% End GPS horizontal error(Meter),12.626999855041504
% End GPS vertical error(Meter),16.375999450683594
% End GPS number of satellites,7
% Cast duration (Seconds),278.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2020-03-06
% Temperature calibration date,2020-03-05
% Pressure calibration date,2020-02-28
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15177144969824075,17.334883583070873,15781.407092985093,18638.774643159592,10.994985593227019,1486.5458613243563,1007.1113963543459
0.44999999999999996,0.45506704440560514,15.503872207343077,17413.519940232283,21496.117520679083,12.805456369448637,1482.6482395649396,1008.843442610515
0.74999999999999989,0.7575678764185112,13.112571327073839,21200.1528203917,27812.545942461576,16.874561937928796,1479.2184029741632,1012.383383579648
1.05,1.0594764106380947,12.935382071756187,21687.836109717955,28585.234845789357,17.37973224523709,1479.1961770428316,1012.8030248306802
1.35,1.3612643839545568,12.72369152846708,22098.297520504195,29289.680602743189,17.838734781551139,1478.9969042683551,1013.1927933348817
1.65,1.6629356899755297,12.423686116062104,22439.899333116846,29980.877970603924,18.284978579811291,1478.4674669341698,1013.5869357799089
1.9500000000000002,1.9645200614245566,12.321424140840975,22634.588605747504,30323.854363556278,18.508681963678619,1478.3737736682517,1013.7773566954606
2.25,2.2660430922832457,12.202806289006313,22861.069521702986,30724.926157598213,18.770448227407268,1478.2664416535631,1013.9997649587812
2.55,2.5675172202187646,12.093689477766,22927.187151374852,30904.430745716782,18.884600313066709,1478.0173328361502,1014.1066534966565
2.85,2.8689632643767622,12.028233205321815,22992.069936143333,31046.674315585275,18.976126794428961,1477.8968276061937,1014.1890930461866
3.15,3.1703904796101634,11.964403225621355,23003.855960489032,31116.2279830129,19.019086343038232,1477.724212071576,1014.2337354615659
3.4499999999999997,3.4718010331254883,11.87278549679926,23026.845630031239,31224.716711502693,19.086510325147739,1477.4806235744643,1014.3016088794468
3.75,3.7731884773927873,11.77747487040433,23075.404080688459,31371.653657573104,19.179379602282616,1477.2533874292785,1014.389662435296
4.05,4.074552922555216,11.717923512589199,23122.062971680258,31486.071051584069,19.252471983842277,1477.1308543028604,1014.4568151260127
4.35,4.3759001521905843,11.702773237868192,23177.958436271514,31575.214066327811,19.311196485971763,1477.1510643856061,1014.5059516057263
4.6499999999999995,4.677235773474874,11.65750631339931,23182.087113190268,31619.836487236156,19.338365034576768,1477.0251095988629,1014.5353613469687
4.9499999999999993,4.9785561113321481,11.606605688110619,23244.629099659298,31749.227581634088,19.421948715791512,1476.9458630593085,1014.60925518445
5.2499999999999991,5.2798590752103269,11.59112491620572,23292.000319860843,31827.390348342538,19.473310340742163,1476.9560506826576,1014.6527510466954
5.55,5.5811437323714319,11.536318325970896,23359.966056894682,31968.144475424411,19.564270810347228,1476.8713020438756,1014.7329451138722
5.85,5.8824093037655132,11.547445332038844,23435.645166432794,32061.947084832551,19.627731980546379,1476.9920765139959,1014.7816999353585
6.1499999999999995,6.1836670888311431,11.567454880564661,23455.42469044762,32071.448186723559,19.635224356052532,1477.0782026886184,1014.7857843459503
6.4499999999999993,6.4849200056839855,11.537172745601289,23470.5392812138,32118.712967520758,19.66501136997034,1477.0091838597252,1014.8148833840683
6.7499999999999991,6.78616589647809,11.517519100486785,23479.306534637519,32148.003359741568,19.68338216752581,1476.9649273437337,1014.8335066116562
7.0499999999999989,7.087407897690694,11.509859754709636,23482.587443000361,32159.2408198325,19.690372503729208,1476.9504594591112,1014.8414751786924
7.35,7.3886479260743609,11.498908005616354,23480.072807492616,32165.445612618827,19.693787593484181,1476.9198125009232,1014.8471844940266
7.6499999999999995,7.6898861307049282,11.493241738651822,23483.519285626782,32175.161984519193,19.699877727988344,1476.9114718377552,1014.8541488118515
7.9499999999999993,7.991123247820191,11.487936094753474,23478.506924396883,32172.971997411511,19.698005961095188,1476.8949374404481,1014.8548975360596
8.25,8.2923591412650612,11.478269897558715,23480.067482078928,32183.636378613337,19.704487215416677,1476.87258079269,1014.86277937125
8.5499999999999989,8.5935937773966682,11.478246031542257,23479.566851699456,32182.971230849453,19.703959255571743,1476.8767616213788,1014.8637547916195
8.85,8.8948281079105609,11.485563567230427,23485.588233069127,32184.768353369698,19.705529711086122,1476.9100167030431,1014.8652241514469
9.1499999999999986,9.1960608055311823,11.485969921708813,23498.008792971854,32201.430910831776,19.716647002557718,1476.929644953598,1014.8751429154313
9.45,9.4972899265916428,11.4893405258234,23519.321525409454,32227.660443417575,19.73436162843667,1476.967868650831,1014.8897092836811
9.75,9.7985158965572943,11.48327453146317,23522.565250234693,32237.464361852766,19.740485684568277,1476.9581200266748,1014.8967615277524
10.049999999999999,10.099739773036857,11.467629365891979,23518.74000485873,32246.050009019382,19.745206304188674,1476.91201966192,1014.9042016977817
10.35,10.400960711468098,11.431323453702104,23505.958413475175,32260.643019662974,19.752683959831888,1476.7943432023019,1014.9169453840379
10.649999999999999,10.702178720134526,11.414161479084006,23500.854298255159,32268.839022633896,19.757042210398087,1476.7422419862157,1014.9243300224999
10.95,11.003391414813178,11.428276614253367,23550.657500453039,32324.693465238382,19.795289676685133,1476.8439433297692,1014.9531417328726
11.25,11.30459550703031,11.443210822547494,23602.17345343866,32382.126767540398,19.834657105164215,1476.9499186323594,1014.9826894067796
11.549999999999999,11.605794454632674,11.43885487574347,23604.589816532061,32389.313408755206,19.839128542224088,1476.9443756393227,1014.988199117527
11.85,11.906991276548562,11.430298320083312,23608.842235987737,32402.757216748683,19.847537924774482,1476.9283143660362,1014.997401453723
12.149999999999999,12.208183052626476,11.408975383603671,23625.350616704658,32444.40466641646,19.87407730909834,1476.887624949004,1015.0225931379691
12.45,12.509369397879409,11.387498791858789,23622.936855774587,32460.237224466637,19.883282206840633,1476.825653245731,1015.0343910033345
12.75,12.81055241088179,11.382704367309728,23632.754924912188,32478.007525667177,19.894824911722051,1476.8269454109243,1015.0454390173666
13.049999999999999,13.111733140716229,11.372599769925687,23629.483621754734,32482.533240987264,19.89714892415077,1476.7979686152637,1015.0501660223659
13.35,13.412912304170614,11.369081160513122,23633.544435635846,32491.258620654145,19.902701856534936,1476.7967324999877,1015.056382788413
13.649999999999999,13.71408926230615,11.365849344921283,23641.778336956431,32505.467028584815,19.911951675008623,1476.8009508081193,1015.0654167651326
13.95,14.015264227907752,11.358997631873201,23641.172824817906,32510.7598732225,19.914992341345044,1476.7846197975437,1015.0701993793686
14.249999999999998,14.316437207462114,11.35520828154784,23648.897754753165,32524.772752789057,19.924075762145197,1476.7866147216855,1015.0791898714283
14.549999999999999,14.617608558292247,11.355202952421616,23650.373181906474,32526.806703373284,19.925358651952418,1476.7930245098405,1015.0815639237724
14.85,14.918779417660378,11.358424803699872,23652.950776805374,32527.469086612386,19.92592369792537,1476.8102870908908,1015.0828883561161
15.149999999999999,15.21995005808515,11.363879990442484,23656.206229537584,32527.065642823516,19.925913534782172,1476.8349644931184,1015.0834253912863
15.45,15.521120220558048,11.370157902855295,23663.666620522032,32531.70729108146,19.929340225561752,1476.8667277799923,1015.0864957933464
15.749999999999998,15.822289331626337,11.376863044709738,23673.336241110348,32539.001799047572,19.934573889557463,1476.9021943025007,1015.0908984777042
16.05,16.123457773510186,11.382349981540484,23676.560328949898,32538.525330225792,19.934516158973079,1476.9269208250032,1015.0913923560914
16.35,16.42462528104128,11.389084889919619,23688.763252807628,32549.270371140617,19.942067337665321,1476.9652541433227,1015.0975826082702
16.650000000000002,16.725790442797368,11.39033907890024,23701.943707118302,32566.258390349969,19.953465978813647,1476.9883080501065,1015.1075911505308
16.95,17.026954786663008,11.390691642717025,23694.621575149795,32555.88243249544,19.946442445300942,1476.9860980770823,1015.103481724538
17.16683527683508,17.244631177129268,11.397449017483803,23710.866267080935,32572.153965640879,19.957727575091944,1477.0276068449739,1015.1121743121032
